eventid,country_txt,latitude,longitude,nkill,summary,targtype1_txt,gname
197701260001,Greece,37.99749,23.762728,0.0,,Military,Unknown
197701270001,El Salvador,13.69288,-89.199161,,,Business,People's Revolutionary Army (ERP) (El Salvador)
197701270002,United States,37.32236,-122.032133,0.0,,Utilities,New World Liberation Front (NWLF)
197701270003,Colombia,4.667128,-74.106056,0.0,,Government (Diplomatic),Revolutionary Armed Forces of Colombia (FARC)
197701270004,West Germany (FRG),51.512054,7.463573,0.0,,Business,Unknown
197701270006,United Kingdom,55.011562,-7.312045,1.0,,Police,Irish Republican Army (IRA)
197701280001,Spain,40.465595,-3.696263,2.0,,Unknown,First of October Antifascist Resistance Group (GRAPO)
197701290001,Spain,43.3282,-3.031509,0.0,,Business,Basque Fatherland and Freedom (ETA)
197701290002,Spain,40.465595,-3.696263,0.0,,Police,First of October Antifascist Resistance Group (GRAPO)
197701290003,Spain,40.465595,-3.696263,1.0,,Police,First of October Antifascist Resistance Group (GRAPO)
197701290004,Spain,40.465595,-3.696263,2.0,,Police,First of October Antifascist Resistance Group (GRAPO)
197701310001,Colombia,4.667128,-74.106056,0.0,,Airports & Aircraft,Revolutionary Workers Party
197701310002,Colombia,4.667128,-74.106056,0.0,,Business,Revolutionary Workers Party
197701310003,United Kingdom,54.607712,-5.95621,1.0,,Terrorists/Non-State Militia,Ulster Volunteer Force (UVF)
197702000001,Venezuela,,,0.0,,Business,Red Flag (Venezuela)
197702000002,United Kingdom,53.410777,-2.977838,,,Government (General),Irish Republican Army (IRA)
197702020001,Colombia,1.61456,-75.6053,0.0,,Business,Revolutionary Armed Forces of Colombia (FARC)
197702030001,United Kingdom,54.607712,-5.95621,1.0,,Business,Irish Republican Army (IRA)
197702030002,France,48.856644,2.34233,0.0,,Other,Falangist Security Group
197702030003,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Volunteer Force (UVF)
197702040001,United States,37.755363,-122.443352,0.0,,Private Citizens & Property,New World Liberation Front (NWLF)
197702040003,United States,37.755363,-122.443352,0.0,,Government (General),New World Liberation Front (NWLF)
197702050001,France,48.113475,-1.675708,0.0,,Government (General),Breton Liberation Front (FLB)
197702050002,Greece,37.99749,23.762728,0.0,,Government (General),Unknown
197702050003,Greece,37.99749,23.762728,0.0,,Government (General),Unknown
197702050004,Greece,37.99749,23.762728,0.0,,Government (General),Unknown
197702050005,United Kingdom,54.373521,-6.359509,1.0,,Police,Irish Republican Army (IRA)
197702060001,El Salvador,13.69288,-89.199161,1.0,,Military,Unknown
197702060002,Italy,41.890961,12.490069,0.0,,Transportation,New Order
197702070001,Guatemala,14.622869,-90.529068,,,Business,Guerrilla Army of the Poor (EGP)
197702070002,Italy,41.890961,12.490069,0.0,,Military,Unknown
197702100001,Italy,41.890961,12.490069,0.0,,Military,Armed Struggle for Communism
197702110001,Spain,41.400635,2.150913,1.0,,Police,First of October Antifascist Resistance Group (GRAPO)
197702110002,France,48.856644,2.34233,,,Journalists & Media,New Order- France
197702120001,Italy,45.694903,9.669953,0.0,,Police,Communist Brigades
197702120002,Italy,41.126,16.868378,0.0,,Government (General),Unknown
197702120003,Italy,45.694903,9.669953,0.0,,Government (General),Unknown
197702120004,United Kingdom,54.999061,-6.332559,1.0,,Police,Irish Republican Army (IRA)
197702130001,Italy,41.890961,12.490069,1.0,,Police,Armed Proletarian Nuclei (NAP)
197702130002,Italy,41.890961,12.490069,0.0,,Government (General),Red Brigades
197702140001,Colombia,2.183611,-73.784722,,,Government (General),Revolutionary Armed Forces of Colombia (FARC)
197702150001,Spain,28.291564,-16.62913,,,Police,Canary Islands Independence Movement
197702160001,West Germany (FRG),51.213924,6.780691,0.0,,Private Citizens & Property,Revolutionary Cells
197702160002,Turkey,39.930771,32.76754,0.0,,Government (Diplomatic),Turkish People's Liberation Army
197702170001,Italy,43.874537,10.256889,0.0,,Business,Unknown
197702170002,Turkey,41.106178,28.689863,,,Police,Unknown
197702170003,Turkey,41.106178,28.689863,0.0,,Business,Unknown
197702180001,Argentina,-34.61768,-58.444435,0.0,,Government (General),Montoneros (Argentina)
197702180002,Turkey,38.395649,27.135641,,,Military,Unknown
197702180003,Turkey,38.395649,27.135641,0.0,,Government (General),Unknown
197702180004,Turkey,38.395649,27.135641,,,Business,Unknown
197702180006,United States,41.842602,-87.681229,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197702180008,United States,40.697132,-73.931351,,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197702180009,Italy,45.072731,7.679541,0.0,,Business,Armed Squads for Communism
197702180010,United States,41.842602,-87.681229,,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197702180011,United States,40.697132,-73.931351,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197702190001,Turkey,37.868792,32.484456,0.0,,Business,Unknown
197702190002,Turkey,37.868792,32.484456,,,Business,Unknown
197702190003,Turkey,37.868792,32.484456,,,Government (General),Unknown
197702190004,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Freedom Fighters (UFF)
197702200001,Turkey,39.930771,32.76754,,,Business,Unknown
197702220001,Zambia,-15.415393,28.284354,1.0,,Government (General),Unknown
197702220002,Peru,-11.967368,-76.978462,0.0,,Military,Unknown
197702230001,United States,44.943829,-93.093326,0.0,"2/23/1977: Unknown perpetrators set fire to the Planned Parenthood of Minnesota Clinic in St. Paul, Minnesota, United States. There were no casualties but the building sustained $250,000 in damages.",Abortion Related,Anti-Abortion extremists
197702230003,Italy,41.890961,12.490069,0.0,,Private Citizens & Property,Armed Proletarian Nuclei (NAP)
197702230004,United Kingdom,55.011562,-7.312045,1.0,,Military,Irish Republican Army (IRA)
197702230005,United States,40.697132,-73.931351,0.0,,Business,Independent Armed Revolutionary Commandos (CRIA)
197702230006,United States,40.697132,-73.931351,0.0,,Business,Independent Armed Revolutionary Commandos (CRIA)
197702240001,Greece,40.620663,22.952,,,Educational Institution,Unknown
197702240002,Italy,44.49419,11.346518,0.0,,Private Citizens & Property,Red Brigades
197702240003,Italy,44.807866,10.329548,0.0,,Private Citizens & Property,Red Brigades
197702240005,Italy,41.890961,12.490069,0.0,,Business,Communist Combat Unit
197702240006,United Kingdom,54.463367,-6.328597,1.0,,Police,Irish Republican Army (IRA)
197702240007,South Africa,-26.141151,28.427501,0.0,,Police,African National Congress (South Africa)
197702240008,United States,40.697132,-73.931351,0.0,,Business,Independent Armed Revolutionary Commandos (CRIA)
197702250001,United Kingdom,55.080775,-6.064046,1.0,,Police,Ulster Volunteer Force (UVF)
197702260001,West Germany (FRG),48.139126,11.580186,0.0,,Journalists & Media,Unknown
197702260002,United Kingdom,54.183052,-6.341388,1.0,,Government (General),Irish Republican Army (IRA)
197702270001,United Kingdom,54.607712,-5.95621,2.0,,Terrorists/Non-State Militia,Ulster Volunteer Force (UVF)
197702270002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197702280001,Turkey,39.930771,32.76754,0.0,,Government (General),Unknown
197702280002,United States,18.386932,-66.061127,0.0,,Airports & Aircraft,Unknown
197703010001,Spain,42.599876,-5.571752,0.0,,Business,Unknown
197703020001,Turkey,37.001163,35.331687,0.0,,Government (General),Unknown
197703020002,United Kingdom,54.607712,-5.95621,1.0,,Business,Irish Republican Army (IRA)
197703030001,United Kingdom,54.607712,-5.95621,2.0,,Military,Irish Republican Army (IRA)
197703030002,Turkey,39.930771,32.76754,,,Business,Unknown
197703030003,Turkey,37.367423,36.110578,1.0,,Business,Unknown
197703040001,Turkey,39.930771,32.76754,0.0,,Military,Unknown
197703040002,United Kingdom,54.536706,-6.70361,1.0,,Government (General),Irish Republican Army (IRA)
197703050001,Turkey,38.355194,40.124833,0.0,,Government (General),Unknown
197703060001,Venezuela,10.482834,-66.962128,1.0,,Government (Diplomatic),Unknown
197703060002,Turkey,39.930771,32.76754,0.0,,Government (Diplomatic),Unknown
197703070001,Turkey,38.395649,27.135641,0.0,,Government (General),Unknown
197703070002,United Kingdom,54.446968,-6.39292,1.0,,Private Citizens & Property,Protestant extremists
197703070003,South Africa,-25.748281,28.212069,,,Business,Unknown
197703070004,United States,41.432339,-81.510315,0.0,"03/07/1977: Former marine, black man Cory C. Moore, held Ohio Police Captain Leo Keglovic, and 18-year-old high school student Shelly Kiggans (both white) hostage in a two-day siege at the City Hall Police Complex in Warren Heights, Ohio in the United States, for 45 hours and 11 hours, respectively. During this time Moore made demands to President Carter to appear on television and apologize to black Americans for the ""misdeeds of whites against blacks since 1619,"" and also demanded that all whites disappear from the earth. After President Carter agreed to speak with him personally, Moore released the hostages, who were unharmed. Moore was arrested and charged with kidnapping.",Police,African-American extremists
197703080001,Italy,43.768732,11.256901,0.0,,Transportation,Unknown
197703080002,Turkey,39.930771,32.76754,,,Educational Institution,Unknown
197703080003,Turkey,39.930771,32.76754,,,Business,Unknown
197703090001,United States,38.908642,-77.015381,0.0,,Religious Figures/Institutions,Hanafi Muslims
197703090002,United States,38.908642,-77.015381,0.0,,Religious Figures/Institutions,Hanafi Muslims
197703090003,United States,38.908642,-77.015381,2.0,,Government (General),Hanafi Muslims
197703090005,United Kingdom,54.351322,-6.837455,1.0,,Military,Irish Republican Army (IRA)
197703090006,United Kingdom,51.504387,-0.140041,,,Government (Diplomatic),Unknown
197703100001,Turkey,41.456768,31.798497,0.0,,Journalists & Media,Unknown
197703100002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197703110001,Turkey,41.106178,28.689863,3.0,,Private Citizens & Property,Unknown
197703110002,Colombia,4.667128,-74.106056,0.0,,Business,National Liberation Army of Colombia (ELN)
197703110003,Turkey,38.395649,27.135641,,,Business,Unknown
197703110004,United States,40.697132,-73.931351,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197703110006,Italy,45.072731,7.679541,0.0,,Police,Unknown
197703110007,United States,40.697132,-73.931351,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197703120001,Italy,45.072731,7.679541,1.0,,Police,Combat Brigades
197703120002,Turkey,41.106178,28.689863,1.0,,Police,Unknown
197703120003,Italy,43.551876,10.308011,0.0,,Government (General),Unknown
197703120004,United States,40.697132,-73.931351,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197703120005,United States,42.345927,-71.552287,0.0,,Business,United Freedom Front (UFF)
197703130001,Turkey,39.930771,32.76754,1.0,,Police,Unknown
197703130002,France,48.856644,2.34233,0.0,,Police,Unknown
197703130003,United Kingdom,54.253718,-7.44106,1.0,,Police,Irish Republican Army (IRA)
197703140001,United Kingdom,54.607712,-5.95621,1.0,,Business,Irish Republican Army (IRA)
197703150001,Turkey,37.067631,37.37315,2.0,,Private Citizens & Property,Unknown
197703150002,Turkey,40.183128,29.067344,,,Government (General),Unknown
197703150003,Italy,45.469212,9.174508,0.0,,Business,Unknown
197703150004,United Kingdom,54.808212,-6.518968,1.0,,Military,Irish Republican Army (IRA)
197703160001,Portugal,38.721642,-27.220577,0.0,,Government (General),Front For the Liberation of the Azores
197703160002,Turkey,36.896891,30.713323,0.0,,Government (General),Unknown
197703160003,United Kingdom,54.811424,-6.705117,1.0,,Private Citizens & Property,Unknown
197703160004,United Kingdom,54.536706,-6.70361,1.0,,Military,Irish Republican Army (IRA)
197703170001,Turkey,38.395649,27.135641,0.0,,Private Citizens & Property,Unknown
197703170002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Freedom Fighters (UFF)
197703190001,United Kingdom,54.42071,-6.443767,1.0,,Government (General),Irish National Liberation Army (INLA)
197703200001,Ethiopia,8.977146,38.773226,0.0,,Government (Diplomatic),Unknown
197703200002,France,48.113475,-1.675708,0.0,,Utilities,Breton Liberation Front (FLB)
197703200004,United States,40.697132,-73.931351,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197703200005,United States,40.697132,-73.931351,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197703210001,United States,40.697132,-73.931351,,"03/21/1977: A bomb exploded at the headquarters office of the Federal Bureau of Investigation in  Manhattan, New York, in the United States, and members of the Armed Forces for National Liberation (FALN) claimed the attack. The FBI office on the sixth floor of the building was not damaged, but the drugstore that occupied the ground floor was damaged. Additionally, one passerby was cut on the arm by a shard of flying glass from the explosion. This incident occurred in conjunction with the bombing of the American Bank Note currency printing plant in the Bronx, also claimed by FALN on this day (197703210004).",Government (General),Fuerzas Armadas de Liberacion Nacional (FALN)
197703210003,Turkey,38.395649,27.135641,0.0,,Government (General),Turkish People's Liberation Front (TPLF)(THKP-C)
197703210004,United States,40.697132,-73.931351,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197703210005,United States,37.755363,-122.443352,0.0,,Private Citizens & Property,New World Liberation Front (NWLF)
197703220001,Turkey,38.395649,27.135641,1.0,,Private Citizens & Property,Unknown
197703220002,Turkey,41.106178,28.689863,0.0,,Business,Unknown
197703220003,Turkey,41.106178,28.689863,0.0,,Educational Institution,Unknown
197703230001,Italy,41.890961,12.490069,1.0,,Police,Unknown
197703230002,Turkey,37.922218,40.184376,0.0,,Business,Unknown
197703230003,Turkey,39.930771,32.76754,0.0,,Educational Institution,Unknown
197703240001,West Germany (FRG),50.11797,8.644191,0.0,,Private Citizens & Property,Revolutionary Cells
197703250001,Turkey,38.395649,27.135641,0.0,,Business,Unknown
197703250002,Turkey,38.395649,27.135641,0.0,,Business,Unknown
197703250003,United Kingdom,54.69212,-5.863265,1.0,,Private Citizens & Property,Ulster Volunteer Force (UVF)
197703260001,Argentina,-34.61768,-58.444435,0.0,,Business,Montoneros (Argentina)
197703260002,Spain,28.124824,-15.430008,0.0,,Business,Canary Islands Independence Movement
197703260003,Turkey,37.001163,35.331687,0.0,,Business,Unknown
197703270001,Turkey,37.614174,28.06281,,,Private Citizens & Property,Unknown
197703270002,Turkey,38.485566,28.133956,0.0,,Private Citizens & Property,Unknown
197703270003,Turkey,41.106178,28.689863,0.0,,Private Citizens & Property,Unknown
197703270004,Ethiopia,5.950903,43.560085,1.0,,Religious Figures/Institutions,Somali Guerrillas
197703280001,Argentina,-34.61768,-58.444435,0.0,,Government (Diplomatic),Montoneros (Argentina)
197703280002,Turkey,37.001163,35.331687,0.0,,Private Citizens & Property,Unknown
197703280003,Turkey,37.001163,35.331687,0.0,,Private Citizens & Property,Unknown
197703280004,Turkey,37.001163,35.331687,0.0,,Private Citizens & Property,Unknown
197703280005,Turkey,38.620497,27.429076,0.0,,Government (General),Unknown
197703280006,Turkey,41.106178,28.689863,,,Educational Institution,Unknown
197703280007,Turkey,41.106178,28.689863,,,Educational Institution,Unknown
197703280008,United States,18.386932,-66.061127,0.0,,Business,Condor
197703280010,United Kingdom,54.75188,-6.461351,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197703280011,United States,40.73197,-74.174184,0.0,,Police,Independent Armed Revolutionary Commandos (CRIA)
197703290002,West Germany (FRG),48.139126,11.580186,0.0,,Airports & Aircraft,Revolutionary Cells
197703290003,Turkey,38.395649,27.135641,0.0,,Military,Unknown
197703290005,Italy,41.890961,12.490069,0.0,,Government (General),Communist Fighting Unit
197703290006,Turkey,39.930771,32.76754,0.0,,Business,Unknown
197703290007,Turkey,38.395649,27.135641,0.0,,Government (Diplomatic),Unknown
197703290008,United States,37.755363,-122.443352,0.0,,Utilities,New World Liberation Front (NWLF)
197703300002,Colombia,,,,,Business,Revolutionary Armed Forces of Colombia (FARC)
197703300003,Turkey,41.106178,28.689863,0.0,,Private Citizens & Property,Marxist-Leninist Armed Propaganda Unit
197703300004,Turkey,41.106178,28.689863,0.0,,Business,Marxist-Leninist Armed Propaganda Unit
197703300005,Turkey,38.395649,27.135641,0.0,,Private Citizens & Property,Unknown
197703300007,United States,18.011091,-66.614182,0.0,,Business,Independent Armed Revolutionary Commandos (CRIA)
197703300008,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300009,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300010,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300011,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300012,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300013,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300014,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300015,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300016,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300017,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300018,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197703300019,Italy,43.716135,10.396584,0.0,,Private Citizens & Property,Revolutionary Action
197703300020,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Volunteer Force (UVF)
197703300022,United States,40.697132,-73.931351,0.0,,Business,Independent Armed Revolutionary Commandos (CRIA)
197703310001,Colombia,4.667128,-74.106056,0.0,,Business,National Liberation Army of Colombia (ELN)
197703310004,United States,40.697132,-73.931351,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197703310005,United States,40.697132,-73.931351,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197704000001,Mauritania,,,0.0,,Business,Polisario Front
197704000002,Israel,31.771599,35.2034,0.0,,Transportation,Palestinians
197704010001,Zaire,-8.35353,22.649662,1.0,,Business,Soviet and Cuban-backed rebels/mercenaries
197704020001,United Kingdom,54.081638,-6.448779,1.0,,Private Citizens & Property,Republican Action Force
197704040001,United Kingdom,54.482055,-8.088244,1.0,,Military,Irish Republican Army (IRA)
197704050001,Italy,40.840097,14.251636,,,Educational Institution,Unknown
197704050002,Argentina,-34.61768,-58.444435,,,Military,Montoneros (Argentina)
197704060001,United Kingdom,55.011562,-7.312045,1.0,,Military,Irish Republican Army (IRA)
197704070001,West Germany (FRG),49.008085,8.403756,3.0,,Government (General),Baader-Meinhof Group
197704070002,Italy,41.890961,12.490069,0.0,,Government (General),Armed Proletarian Nuclei (NAP)
197704080001,Colombia,2.442137,-76.612379,0.0,,Telecommunication,Falange
197704080002,Turkey,39.930771,32.76754,0.0,,Business,Unknown
197704080003,United Kingdom,54.692009,-6.6703,2.0,,Police,Irish Republican Army (IRA)
197704090002,United States,40.697132,-73.931351,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197704090004,United States,37.755363,-122.443352,0.0,,Government (General),New World Liberation Front (NWLF)
197704090005,United Kingdom,54.607712,-5.95621,0.0,,Private Citizens & Property,Irish Republican Army (IRA)
197704090006,United States,40.697132,-73.931351,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197704090007,United States,40.697132,-73.931351,0.0,,Business,Fuerzas Armadas de Liberacion Nacional (FALN)
197704100001,United Kingdom,51.504387,-0.140041,3.0,,Government (General),Unknown
197704100002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Volunteer Force (UVF)
197704100003,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197704110001,Argentina,-34.61768,-58.444435,1.0,,Business,Montoneros (Argentina)
197704110002,Costa Rica,9.933333,-84.083333,0.0,,Military,Revolutionary Commandos of Solidarity
197704110003,Costa Rica,10.015949,-84.221124,0.0,,Airports & Aircraft,Revolutionary Commandos of Solidarity
197704110004,Costa Rica,9.933333,-84.083333,0.0,,Airports & Aircraft,Revolutionary Commandos of Solidarity
197704110005,United States,37.389475,-122.081694,0.0,,Business,New World Liberation Front (NWLF)
197704120001,France,48.856644,2.34233,0.0,,Business,Action Front for the Liberation of the Baltic Countries
197704120002,France,48.856644,2.34233,0.0,,Government (Diplomatic),Action Front for the Liberation of the Baltic Countries
197704130001,France,48.856644,2.34233,0.0,,Business,Committee for the Defense of Italian Workers in France
197704130002,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197704140001,Spain,40.465595,-3.696263,,,Police,Revolutionary Patriotic Anti-Fascist Front (FRAP)
197704140002,United States,37.791927,-122.225906,0.0,,Utilities,New World Liberation Front (NWLF)
197704150001,Colombia,4.667128,-74.106056,1.0,,Business,Popular Liberation Army (EPL)
197704150002,West Germany (FRG),51.213924,6.780691,0.0,,Business,Unknown
197704150003,United Kingdom,55.011562,-7.312045,1.0,,Military,Irish Republican Army (IRA)
197704160001,Iran,38.030161,46.356069,0.0,,Business,Mujahedin-e Khalq (MEK)
197704160002,Italy,41.890961,12.490069,,,Journalists & Media,Unknown
197704170001,United States,38.291877,-122.457245,0.0,,Utilities,New World Liberation Front (NWLF)
197704180001,Italy,45.469212,9.174508,0.0,,Business,Armed Proletarian Nuclei (NAP)
197704190001,El Salvador,13.69288,-89.199161,1.0,,Government (General),People's Liberation Forces (FPL)
