iyear,imonth,iday,latitude,longitude,eventid
2000,4,15,8.486803,124.645818,200004150003
2000,4,15,43.13453,-1.142615,200004150004
2000,4,15,34.08374,74.789902,200004150005
2000,4,15,41.387174,9.159269,200004150006
2000,4,16,8.757816,80.487907,200004160001
2000,4,16,28.16527,83.932081,200004160002
2000,4,17,42.672479,21.163748,200004170001
2000,4,18,23.71489,91.448302,200004180001
2000,4,19,48.465906,-2.085787,200004190001
2000,4,19,34.288891,74.463715,200004190002
2000,4,19,34.288891,74.463715,200004190003
2000,4,19,23.955541,92.218748,200004190004
2000,4,20,36.562222,3.594444,200004200001
2000,4,21,43.440285,13.607442,200004210001
2000,4,21,36.469007,3.011413,200004210002
2000,4,21,42.113828,8.701548,200004210003
2000,4,24,26.257281,93.012702,200004230001
2000,4,24,4.114683,118.628756,200004240001
2000,4,24,6.050458,121.012245,200004240002
2000,4,24,37.837895,68.771166,200004240003
2000,4,24,30.200819,66.994354,200004240004
2000,4,24,30.200819,66.994354,200004240005
2000,4,24,30.200819,66.994354,200004240006
2000,4,25,40.465595,-3.696263,200004250001
2000,4,25,46.947922,7.444608,200004250002
2000,4,25,36.528881,6.316472,200004250003
2000,4,25,46.947922,7.444608,200004250004
2000,4,26,30.292088,71.931244,200004260001
2000,4,26,32.587222,74.76,200004260002
2000,4,25,44.818611,20.468056,200004260003
2000,4,28,34.010186,74.4848,200004280001
2000,4,28,33.732216,75.157913,200004280002
2000,4,28,40.438335,-79.997459,200004280003
2000,4,28,40.438335,-79.997459,200004280004
2000,4,28,40.438335,-79.997459,200004280005
2000,4,28,40.438335,-79.997459,200004280006
2000,4,28,40.438335,-79.997459,200004280007
2000,4,28,40.68328,-80.284988,200004280008
2000,4,29,53.553813,9.991586,200004290001
2000,4,30,7.80121,122.759801,200004300001
2000,5,1,35.724533,51.40519,200005010001
2000,5,1,43.427011,46.087993,200005010002
2000,5,1,8.465677,-13.231723,200005010003
2000,5,1,18.838093,36.832739,200005010004
2000,5,2,6.11622,125.169395,200005020001
2000,5,2,6.11622,125.169395,200005020002
2000,5,2,6.11622,125.169395,200005020003
2000,5,2,54.50853,-6.763131,200005020004
2000,5,1,23.9654,91.37104,200005020005
2000,5,3,6.11622,125.169395,200005030001
2000,5,3,6.11622,125.169395,200005030002
2000,5,3,6.11622,125.169395,200005030003
2000,5,3,36.053486,2.937574,200005030004
2000,5,3,48.856644,2.34233,200005030005
2000,5,3,43.569246,7.10836,200005030006
2000,5,3,43.330673,5.151576,200005030007
2000,5,3,37.0925,43.487222,200005030008
2000,5,3,-8.838837,13.235582,200005030009
2000,5,3,6.11622,125.169395,200005030011
2000,5,4,17.965664,102.623034,200005040001
2000,5,4,33.208509,35.570348,200005040002
2000,5,4,37.922218,40.184376,200005040003
2000,5,5,24.891115,67.143311,200005050001
2000,5,5,24.891115,67.143311,200005050002
2000,5,6,14.599352,120.984772,200005060001
2000,5,6,42.523868,21.227866,200005060002
2000,5,7,43.22048,-2.021122,200005070001
2000,5,7,34.08374,74.789902,200005070002
2000,5,7,42.321562,21.362007,200005070003
2000,5,7,47.039225,-122.891429,200005070004
2000,5,7,8.296944,-74.473056,200005070005
2000,5,8,42.231356,-8.712447,200005080001
2000,5,8,19.075984,72.877656,200005080002
2000,5,8,42.9537,46.113,200005080003
2000,5,8,8.871975,-12.037557,200005080004
2000,5,9,42.421923,21.420165,200005090001
2000,5,10,9.666399,80.020477,200005100001
2000,5,11,35.947979,2.114687,200005110001
2000,5,11,43.0832,44.9823,200005110002
2000,5,12,33.223889,35.493056,200005120001
2000,5,12,43.124254,46.158573,200005120002
2000,5,12,43.361746,45.410999,200005120003
2000,5,12,18.527716,-72.33284,200005120004
2000,5,13,34.267394,47.11118,200005130001
2000,5,13,45.251667,19.836944,200005130002
2000,5,13,43.314928,46.228384,200005130003
2000,5,14,36.266667,2.216667,200005140001
2000,5,15,6.19998,-75.23326,200005150001
2000,5,15,33.561228,75.205876,200005150002
2000,5,15,9.666399,80.020477,200005150003
2000,5,15,33.561228,75.205876,200005150004
2000,5,15,9.666399,80.020477,200005150005
2000,5,16,6.630015,122.111817,200005160001
2000,5,16,0.355233,37.583456,200005160002
2000,5,16,6.641574,122.157351,200005160003
2000,5,17,18.527716,-72.33284,200005170001
2000,5,17,33.303566000000004,44.371773,200005170002
2000,5,17,9.666399,80.020477,200005170003
2000,5,17,7.733107,81.68882,200005170006
2000,5,18,46.803137,-71.241298,200005180002
2000,5,18,6.050458,121.012245,200005180004
2000,5,18,24.891115,67.143311,200005180005
2000,5,18,6.929089,122.07885,200005180007
2000,5,19,-25.282773,-57.63561,200005190001
2000,5,19,34.08374,74.789902,200005190002
2000,5,19,31.530243,35.094162,200005190003
2000,5,20,42.460434,21.469323,200005200001
2000,5,20,7.189585,124.534397,200005200002
2000,5,20,14.599352,120.984772,200005200003
2000,5,20,43.296482,5.36978,200005200004
2000,5,21,14.599352,120.984772,200005210001
2000,5,21,51.783711,-1.485517,200005210002
2000,5,21,31.862497,35.46188,200005210003
2000,5,21,-3.375828,29.364107,200005210004
2000,5,21,7.612788,123.005931,200005210005
2000,5,21,7.732345,123.057305,200005210006
2000,5,21,16.182826,81.133869,200005210007
2000,5,21,23.499531,91.238136,200005210008
2000,5,20,24.764167,93.899444,200005210009
2000,5,22,34.08374,74.789902,200005220001
2000,5,22,-33.941849,18.41964,200005220002
2000,5,23,14.907244,120.717412,200005230001
2000,5,23,8.351263,81.006993,200005230002
2000,5,24,8.708987,-12.677608,200005240001
2000,5,24,7.109883,124.824303,200005240002
2000,5,24,6.916428,79.867824,200005240003
2000,5,24,42.645873,41.645188,200005240004
2000,5,24,-5.560318,12.190405,200005240005
2000,5,24,-2.088326,29.36432,200005240006
2000,5,25,6.050458,121.012245,200005250001
2000,5,25,42.870022,74.587883,200005250002
2000,5,25,6.929089,122.07885,200005250003
2000,5,25,45.287984,18.802506,200005250005
2000,5,26,6.11622,125.169395,200005260001
2000,5,26,42.629326,21.101316,200005260002
2000,5,27,43.320229,45.654491,200005270001
2000,5,27,7.452627,122.328205,200005270002
2000,5,27,10.714915,122.565695,200005270003
2000,5,27,8.065973,124.260404,200005270004
2000,5,27,14.346627,121.05041,200005270005
2000,5,26,5.545248,95.32401,200005270006
2000,5,27,4.449306,96.167968,200005270007
2000,5,27,43.20725,-71.536604,200005270008
2000,5,27,44.04992,-123.088544,200005270009
2000,5,28,7.117876,124.38499,200005280001
2000,5,28,34.08374,74.789902,200005280002
2000,5,28,43.320229,45.654491,200005280003
2000,5,28,17.965664,102.623034,200005280004
2000,5,28,3.585242,98.675598,200005280005
2000,5,28,-8.971451,125.042999,200005280006
2000,5,29,3.585242,98.675598,200005290001
2000,5,29,4.978633,97.222142,200005290002
2000,5,29,43.006184,46.442115,200005290003
2000,5,29,42.421923,21.420165,200005290004
2000,5,29,34.08374,74.789902,200005290005
2000,5,29,6.700414,121.972557,200005290006
2000,5,29,33.721287,74.831062,200005290007
2000,5,30,43.361746,45.410999,200005300001
2000,5,30,8.757816,80.487907,200005300002
2000,5,30,8.688128,-12.535539,200005300003
2000,5,30,15.11447,105.802101,200005300004
2000,5,31,48.7,44.516667,200005310001
2000,5,31,42.442575,19.268646,200005310002
2000,6,0,8.533811,-12.09941,200006000001
2000,6,0,8.52755,-12.508795,200006000002
2000,6,1,51.504387,-0.140041,200006010001
2000,6,1,43.033102,41.481171,200006010002
2000,6,2,35.729444,-0.465833,200006020001
2000,6,2,34.092796,74.589592,200006020002
2000,6,2,43.320229,45.654491,200006020003
2000,6,2,43.320229,45.654491,200006020004
2000,6,2,42.678199,21.172562,200006020005
2000,6,2,8.708987,-12.677608,200006020006
2000,6,2,36.35,2.26667,200006020007
2000,6,2,35.335611,1.228357,200006020008
2000,6,2,43.127544,45.539974,200006020009
2000,6,2,42.9537,46.113,200006020010
2000,6,2,9.659069,80.131693,200006020011
2000,6,2,-17.910812,19.988303,200006020012
2000,6,2,-17.916462,19.766479,200006020013
