nkill,latitude,longitude
53.0,34.198803,43.873311
85.0,47.942007,37.504089
174.0,36.886496,38.350204
70.0,2.71581,44.511845
97.0,12.924998,13.570766
121.0,33.573487,44.547426
57.0,33.349159,43.784197
58.0,33.354051,43.845054
52.0,33.770899,44.624747
143.0,47.539638,37.776423
68.0,33.303567,44.371771
174.0,11.611388,11.919165
80.0,13.129023,45.020269
68.0,12.703331,13.217884
97.0,1.808302,44.695142
56.0,35.735614,37.093959
54.0,35.28798,40.308863
74.0,33.453551,68.887283
57.0,35.982763,36.704648
56.0,35.990087,36.677222
240.0,36.705777,68.877063
70.0,33.683266,43.473258
52.0,8.927721,29.788925
108.0,11.485018,12.311891
105.0,39.930773,32.76754
100.0,33.542623,68.41533
224.0,30.169854,34.173178
93.0,48.856642,2.34233
73.0,31.497145,65.838674
72.0,36.039722,37.3075
83.0,35.798129,43.294178
112.0,34.160588,42.37254
66.0,32.407892,14.622688
142.0,3.03626,41.867161
72.0,33.683266,43.473258
88.0,11.761901,13.266306
300.0,36.354146,43.143571
76.0,33.52765,36.392297
60.0,12.036585,13.917242
51.0,7.858306,7.871603
75.0,36.695914,38.946732
62.0,32.469239,44.416638
54.0,30.55363,63.78721
79.0,31.50547,74.342879
55.0,11.023447,30.120241
71.0,34.516895,69.147014
250.0,36.354146,43.143571
60.0,36.354146,43.143571
73.0,36.115443,37.049345
65.0,33.303567,44.371771
63.0,35.768354,43.588967
71.0,32.559761,41.919647
52.0,12.669669,14.575381
111.0,4.210529,45.560488
59.0,7.691215,9.247731
73.0,35.409749,71.338923
383.0,33.303567,44.371771
72.0,35.172505,43.377435
67.0,33.531667,69.736033
59.0,34.010473,44.148235
87.0,43.693611,7.255833
83.0,34.516895,69.147014
68.0,31.583493,63.791712
97.0,35.325105,43.767265
75.0,30.20082,66.994352
64.0,0.495944,29.459606
283.0,7.181962,32.356095
58.0,37.06763,37.373151
73.0,12.86714,44.983957
85.0,33.084494,68.311832
100.0,35.904295,43.058433
70.0,35.442745,42.393838
154.0,36.705777,68.877063
90.0,31.680203,64.312213
56.0,9.529987,31.655479
54.0,34.204972,70.277584
